PICkitminus and PK2CMD minus supported devices.
Device file based on last publicly available PICKitPlus
device file 2.63.218.15 from https://github.com/Anobium/PICKitPlus
Some devices added and fixed by jaka.
Device file and software updates available from
http://kair.us/projects/pickitminus/index.html


Device File Version:   2.64.33
Number of devices = 1588

Device Name                  Device Family               Device ID
PIC10LF320                   Midrange/1.8V Min           0x000029E0
PIC10LF322                   Midrange/1.8V Min           0x000029C0
PIC12F1501                   Midrange/1.8V Min           0x00002CC0
PIC12F1822                   Midrange/1.8V Min           0x00002700
PIC12F1840                   Midrange/1.8V Min           0x00001B80
PIC12LF1501                  Midrange/1.8V Min           0x00002D80
PIC12LF1822                  Midrange/1.8V Min           0x00002800
PIC12LF1840                  Midrange/1.8V Min           0x00001BC0
PIC16F707                    Midrange/1.8V Min           0x00001AC0
PIC16F720                    Midrange/1.8V Min           0x00001C00
PIC16F721                    Midrange/1.8V Min           0x00001C20
PIC16F722                    Midrange/1.8V Min           0x00001880
PIC16F722A                   Midrange/1.8V Min           0x00001B20
PIC16F723                    Midrange/1.8V Min           0x00001860
PIC16F723A                   Midrange/1.8V Min           0x00001B00
PIC16F724                    Midrange/1.8V Min           0x00001840
PIC16F726                    Midrange/1.8V Min           0x00001820
PIC16F727                    Midrange/1.8V Min           0x00001800
PIC16F1503                   Midrange/1.8V Min           0x00002CE0
PIC16F1507                   Midrange/1.8V Min           0x00002D00
PIC16F1508                   Midrange/1.8V Min           0x00002D20
PIC16F1509                   Midrange/1.8V Min           0x00002D40
PIC16F1512                   Midrange/1.8V Min           0x00001700
PIC16F1513                   Midrange/1.8V Min           0x00001640
PIC16F1516                   Midrange/1.8V Min           0x00001680
PIC16F1517                   Midrange/1.8V Min           0x000016A0
PIC16F1518                   Midrange/1.8V Min           0x000016C0
PIC16F1519                   Midrange/1.8V Min           0x000016E0
PIC16F1526                   Midrange/1.8V Min           0x00001580
PIC16F1527                   Midrange/1.8V Min           0x000015A0
PIC16F1782                   Midrange/1.8V Min           0x00002A00
PIC16F1783                   Midrange/1.8V Min           0x00002A20
PIC16F1784                   Midrange/1.8V Min           0x00002A40
PIC16F1786                   Midrange/1.8V Min           0x00002A60
PIC16F1787                   Midrange/1.8V Min           0x00002A80
PIC16F1823                   Midrange/1.8V Min           0x00002720
PIC16F1824                   Midrange/1.8V Min           0x00002740
PIC16F1825                   Midrange/1.8V Min           0x00002760
PIC16F1826                   Midrange/1.8V Min           0x00002780
PIC16F1827                   Midrange/1.8V Min           0x000027A0
PIC16F1828                   Midrange/1.8V Min           0x000027C0
PIC16F1829                   Midrange/1.8V Min           0x000027E0
PIC16F1847                   Midrange/1.8V Min           0x00001480
PIC16F1933                   Midrange/1.8V Min           0x00002300
PIC16F1934                   Midrange/1.8V Min           0x00002340
PIC16F1936                   Midrange/1.8V Min           0x00002360
PIC16F1937                   Midrange/1.8V Min           0x00002380
PIC16F1938                   Midrange/1.8V Min           0x000023A0
PIC16F1939                   Midrange/1.8V Min           0x000023C0
PIC16F1946                   Midrange/1.8V Min           0x00002500
PIC16F1947                   Midrange/1.8V Min           0x00002520
PIC16LF707                   Midrange/1.8V Min           0x00001AE0
PIC16LF720                   Midrange/1.8V Min           0x00001C40
PIC16LF721                   Midrange/1.8V Min           0x00001C60
PIC16LF722                   Midrange/1.8V Min           0x00001980
PIC16LF722A                  Midrange/1.8V Min           0x00001B60
PIC16LF723                   Midrange/1.8V Min           0x00001960
PIC16LF723A                  Midrange/1.8V Min           0x00001B40
PIC16LF724                   Midrange/1.8V Min           0x00001940
PIC16LF726                   Midrange/1.8V Min           0x00001920
PIC16LF727                   Midrange/1.8V Min           0x00001900
PIC16LF1503                  Midrange/1.8V Min           0x00002DA0
PIC16LF1507                  Midrange/1.8V Min           0x00002DC0
PIC16LF1508                  Midrange/1.8V Min           0x00002DE0
PIC16LF1509                  Midrange/1.8V Min           0x00002E00
PIC16LF1512                  Midrange/1.8V Min           0x00001720
PIC16LF1513                  Midrange/1.8V Min           0x00001740
PIC16LF1516                  Midrange/1.8V Min           0x00001780
PIC16LF1517                  Midrange/1.8V Min           0x000017A0
PIC16LF1518                  Midrange/1.8V Min           0x000017C0
PIC16LF1519                  Midrange/1.8V Min           0x000017E0
PIC16LF1526                  Midrange/1.8V Min           0x000015C0
PIC16LF1527                  Midrange/1.8V Min           0x000015E0
PIC16LF1554                  Midrange/1.8V Min           0x00002F00
PIC16LF1559                  Midrange/1.8V Min           0x00002F20
PIC16LF1782                  Midrange/1.8V Min           0x00002AA0
PIC16LF1783                  Midrange/1.8V Min           0x00002AC0
PIC16LF1784                  Midrange/1.8V Min           0x00002AE0
PIC16LF1786                  Midrange/1.8V Min           0x00002B00
PIC16LF1787                  Midrange/1.8V Min           0x00002B20
PIC16LF1823                  Midrange/1.8V Min           0x00002820
PIC16LF1824                  Midrange/1.8V Min           0x00002840
PIC16LF1825                  Midrange/1.8V Min           0x00002860
PIC16LF1826                  Midrange/1.8V Min           0x00002880
PIC16LF1827                  Midrange/1.8V Min           0x000028A0
PIC16LF1828                  Midrange/1.8V Min           0x000028C0
PIC16LF1829                  Midrange/1.8V Min           0x000028E0
PIC16LF1847                  Midrange/1.8V Min           0x000014A0
PIC16LF1902                  Midrange/1.8V Min           0x00002C20
PIC16LF1903                  Midrange/1.8V Min           0x00002C00
PIC16LF1904                  Midrange/1.8V Min           0x00002C80
PIC16LF1906                  Midrange/1.8V Min           0x00002C60
PIC16LF1907                  Midrange/1.8V Min           0x00002C40
PIC16LF1933                  Midrange/1.8V Min           0x00002400
PIC16LF1934                  Midrange/1.8V Min           0x00002440
PIC16LF1936                  Midrange/1.8V Min           0x00002460
PIC16LF1937                  Midrange/1.8V Min           0x00002480
PIC16LF1938                  Midrange/1.8V Min           0x000024A0
PIC16LF1939                  Midrange/1.8V Min           0x000024C0
PIC16LF1946                  Midrange/1.8V Min           0x00002580
PIC16LF1947                  Midrange/1.8V Min           0x000025A0
PIC12F1571                   Midrange/1.8v MinII         0x00003051
PIC12F1572                   Midrange/1.8v MinII         0x00003050
PIC12F1612                   Midrange/1.8v MinII         0x00003058
PIC12LF1571                  Midrange/1.8v MinII         0x00003053
PIC12LF1572                  Midrange/1.8v MinII         0x00003052
PIC12LF1612                  Midrange/1.8v MinII         0x00003059
PIC16F1454                   Midrange/1.8v MinII         0x00003020
PIC16F1455                   Midrange/1.8v MinII         0x00003021
PIC16F1459                   Midrange/1.8v MinII         0x00003023
PIC16F1574                   Midrange/1.8v MinII         0x00003000
PIC16F1575                   Midrange/1.8v MinII         0x00003001
PIC16F1578                   Midrange/1.8v MinII         0x00003002
PIC16F1579                   Midrange/1.8v MinII         0x00003003
PIC16F1613                   Midrange/1.8v MinII         0x0000304C
PIC16F1614                   Midrange/1.8v MinII         0x00003078
PIC16F1615                   Midrange/1.8v MinII         0x0000307C
PIC16F1618                   Midrange/1.8v MinII         0x00003079
PIC16F1619                   Midrange/1.8v MinII         0x0000307D
PIC16F1703                   Midrange/1.8v MinII         0x00003061
PIC16F1704                   Midrange/1.8v MinII         0x00003043
PIC16F1705                   Midrange/1.8v MinII         0x00003055
PIC16F1707                   Midrange/1.8v MinII         0x00003060
PIC16F1708                   Midrange/1.8v MinII         0x00003042
PIC16F1709                   Midrange/1.8v MinII         0x00003054
PIC16F1713                   Midrange/1.8v MinII         0x00003049
PIC16F1716                   Midrange/1.8v MinII         0x00003048
PIC16F1717                   Midrange/1.8v MinII         0x0000305C
PIC16F1718                   Midrange/1.8v MinII         0x0000305B
PIC16F1719                   Midrange/1.8v MinII         0x0000305A
PIC16F1764                   Midrange/1.8v MinII         0x00003080
PIC16F1765                   Midrange/1.8v MinII         0x00003081
PIC16F1768                   Midrange/1.8v MinII         0x00003084
PIC16F1769                   Midrange/1.8v MinII         0x00003085
PIC16F1773                   Midrange/1.8v MinII         0x0000308A
PIC16F1776                   Midrange/1.8v MinII         0x0000308B
PIC16F1777                   Midrange/1.8v MinII         0x0000308E
PIC16F1778                   Midrange/1.8v MinII         0x0000308F
PIC16F1779                   Midrange/1.8v MinII         0x00003090
PIC16F1788                   Midrange/1.8v MinII         0x0000302B
PIC16F1789                   Midrange/1.8v MinII         0x0000302A
PIC16F18313                  Midrange/1.8v MinII         0x00003066
PIC16F18323                  Midrange/1.8v MinII         0x00003067
PIC16F18324                  Midrange/1.8v MinII         0x0000303A
PIC16F18325                  Midrange/1.8v MinII         0x0000303E
PIC16F18326                  Midrange/1.8v MinII         0x000030A4
PIC16F18344                  Midrange/1.8v MinII         0x0000303B
PIC16F18345                  Midrange/1.8v MinII         0x0000303F
PIC16F18346                  Midrange/1.8v MinII         0x000030A5
PIC16LF1454                  Midrange/1.8v MinII         0x00003024
PIC16LF1455                  Midrange/1.8v MinII         0x00003025
PIC16LF1459                  Midrange/1.8v MinII         0x00003027
PIC16LF1566                  Midrange/1.8v MinII         0x00003046
PIC16LF1567                  Midrange/1.8v MinII         0x00003047
PIC16LF1574                  Midrange/1.8v MinII         0x00003004
PIC16LF1575                  Midrange/1.8v MinII         0x00003005
PIC16LF1578                  Midrange/1.8v MinII         0x00003006
PIC16LF1579                  Midrange/1.8v MinII         0x00003007
PIC16LF1613                  Midrange/1.8v MinII         0x0000304D
PIC16LF1614                  Midrange/1.8v MinII         0x0000307A
PIC16LF1615                  Midrange/1.8v MinII         0x0000307E
PIC16LF1618                  Midrange/1.8v MinII         0x0000307B
PIC16LF1619                  Midrange/1.8v MinII         0x0000307F
PIC16LF1703                  Midrange/1.8v MinII         0x00003063
PIC16LF1704                  Midrange/1.8v MinII         0x00003045
PIC16LF1705                  Midrange/1.8v MinII         0x00003057
PIC16LF1707                  Midrange/1.8v MinII         0x00003062
PIC16LF1708                  Midrange/1.8v MinII         0x00003044
PIC16LF1709                  Midrange/1.8v MinII         0x00003056
PIC16LF1713                  Midrange/1.8v MinII         0x0000304B
PIC16LF1716                  Midrange/1.8v MinII         0x0000304A
PIC16LF1717                  Midrange/1.8v MinII         0x0000305F
PIC16LF1718                  Midrange/1.8v MinII         0x0000305E
PIC16LF1719                  Midrange/1.8v MinII         0x0000305D
PIC16LF1764                  Midrange/1.8v MinII         0x00003082
PIC16LF1765                  Midrange/1.8v MinII         0x00003083
PIC16LF1768                  Midrange/1.8v MinII         0x00003086
PIC16LF1769                  Midrange/1.8v MinII         0x00003087
PIC16LF1773                  Midrange/1.8v MinII         0x0000308C
PIC16LF1776                  Midrange/1.8v MinII         0x0000308D
PIC16LF1777                  Midrange/1.8v MinII         0x00003091
PIC16LF1778                  Midrange/1.8v MinII         0x00003092
PIC16LF1779                  Midrange/1.8v MinII         0x00003093
PIC16LF1788                  Midrange/1.8v MinII         0x0000302D
PIC16LF1789                  Midrange/1.8v MinII         0x0000302C
PIC16LF18313                 Midrange/1.8v MinII         0x00003068
PIC16LF18323                 Midrange/1.8v MinII         0x00003069
PIC16LF18324                 Midrange/1.8v MinII         0x0000303C
PIC16LF18325                 Midrange/1.8v MinII         0x00003040
PIC16LF18326                 Midrange/1.8v MinII         0x000030A6
PIC16LF18344                 Midrange/1.8v MinII         0x0000303D
PIC16LF18345                 Midrange/1.8v MinII         0x00003041
PIC16LF18346                 Midrange/1.8v MinII         0x000030A7
PIC16F753                    Midrange/1.8v SHV Min II    0x00003030
PIC16HV753                   Midrange/1.8v SHV Min II    0x00003031
PIC16F13113                  Midrange/1.8V Min MSB1st    0x00003121
PIC16F13114                  Midrange/1.8V Min MSB1st    0x00003124
PIC16F13115                  Midrange/1.8V Min MSB1st    0x00003127
PIC16F13123                  Midrange/1.8V Min MSB1st    0x00003122
PIC16F13124                  Midrange/1.8V Min MSB1st    0x00003125
PIC16F13125                  Midrange/1.8V Min MSB1st    0x00003128
PIC16F13143                  Midrange/1.8V Min MSB1st    0x00003123
PIC16F13144                  Midrange/1.8V Min MSB1st    0x00003126
PIC16F13145                  Midrange/1.8V Min MSB1st    0x00003129
PIC16F15213                  Midrange/1.8V Min MSB1st    0x000030E3
PIC16F15214                  Midrange/1.8V Min MSB1st    0x000030E6
PIC16F15223                  Midrange/1.8V Min MSB1st    0x000030E4
PIC16F15224                  Midrange/1.8V Min MSB1st    0x000030E7
PIC16F15225                  Midrange/1.8V Min MSB1st    0x000030E9
PIC16F15243                  Midrange/1.8V Min MSB1st    0x000030E5
PIC16F15244                  Midrange/1.8V Min MSB1st    0x000030E8
PIC16F15245                  Midrange/1.8V Min MSB1st    0x000030EA
PIC16F15254                  Midrange/1.8V Min MSB1st    0x000030F0
PIC16F15255                  Midrange/1.8V Min MSB1st    0x000030EF
PIC16F15256                  Midrange/1.8V Min MSB1st    0x000030EB
PIC16F15274                  Midrange/1.8V Min MSB1st    0x000030EE
PIC16F15275                  Midrange/1.8V Min MSB1st    0x000030ED
PIC16F15276                  Midrange/1.8V Min MSB1st    0x000030EC
PIC16F15313                  Midrange/1.8V Min MSB1st    0x000030BE
PIC16F15323                  Midrange/1.8V Min MSB1st    0x000030C0
PIC16F15324                  Midrange/1.8V Min MSB1st    0x000030C2
PIC16F15325                  Midrange/1.8V Min MSB1st    0x000030C6
PIC16F15344                  Midrange/1.8V Min MSB1st    0x000030C4
PIC16F15345                  Midrange/1.8V Min MSB1st    0x000030C8
PIC16F15354                  Midrange/1.8V Min MSB1st    0x000030AC
PIC16F15355                  Midrange/1.8V Min MSB1st    0x000030AE
PIC16F15356                  Midrange/1.8V Min MSB1st    0x000030B0
PIC16F15375                  Midrange/1.8V Min MSB1st    0x000030B2
PIC16F15376                  Midrange/1.8V Min MSB1st    0x000030B4
PIC16F15385                  Midrange/1.8V Min MSB1st    0x000030B6
PIC16F15386                  Midrange/1.8V Min MSB1st    0x000030B8
PIC16F17114                  Midrange/1.8V Min MSB1st    0x000030DB
PIC16F17115                  Midrange/1.8V Min MSB1st    0x000030E2
PIC16F17124                  Midrange/1.8V Min MSB1st    0x000030DC
PIC16F17125                  Midrange/1.8V Min MSB1st    0x000030DE
PIC16F17126                  Midrange/1.8V Min MSB1st    0x000030E0
PIC16F17144                  Midrange/1.8V Min MSB1st    0x000030DD
PIC16F17145                  Midrange/1.8V Min MSB1st    0x000030DF
PIC16F17146                  Midrange/1.8V Min MSB1st    0x000030E1
PIC16F17154                  Midrange/1.8V Min MSB1st    0x00003101
PIC16F17155                  Midrange/1.8V Min MSB1st    0x00003103
PIC16F17156                  Midrange/1.8V Min MSB1st    0x00003105
PIC16F17174                  Midrange/1.8V Min MSB1st    0x00003102
PIC16F17175                  Midrange/1.8V Min MSB1st    0x00003104
PIC16F17176                  Midrange/1.8V Min MSB1st    0x00003106
PIC16F17524                  Midrange/1.8V Min MSB1st    0x00003115
PIC16F17525                  Midrange/1.8V Min MSB1st    0x00003119
PIC16F17526                  Midrange/1.8V Min MSB1st    0x0000311D
PIC16F17544                  Midrange/1.8V Min MSB1st    0x00003116
PIC16F17545                  Midrange/1.8V Min MSB1st    0x0000311A
PIC16F17546                  Midrange/1.8V Min MSB1st    0x0000311E
PIC16F17554                  Midrange/1.8V Min MSB1st    0x00003117
PIC16F17555                  Midrange/1.8V Min MSB1st    0x0000311B
PIC16F17556                  Midrange/1.8V Min MSB1st    0x0000311F
PIC16F17574                  Midrange/1.8V Min MSB1st    0x00003118
PIC16F17575                  Midrange/1.8V Min MSB1st    0x0000311C
PIC16F17576                  Midrange/1.8V Min MSB1st    0x00003120
PIC16F18013                  Midrange/1.8V Min MSB1st    0x000030F1
PIC16F18014                  Midrange/1.8V Min MSB1st    0x000030F2
PIC16F18015                  Midrange/1.8V Min MSB1st    0x000030F5
PIC16F18023                  Midrange/1.8V Min MSB1st    0x000030F3
PIC16F18024                  Midrange/1.8V Min MSB1st    0x000030F4
PIC16F18025                  Midrange/1.8V Min MSB1st    0x000030F6
PIC16F18026                  Midrange/1.8V Min MSB1st    0x000030F9
PIC16F18044                  Midrange/1.8V Min MSB1st    0x000030F7
PIC16F18045                  Midrange/1.8V Min MSB1st    0x000030F8
PIC16F18046                  Midrange/1.8V Min MSB1st    0x000030FA
PIC16F18054                  Midrange/1.8V Min MSB1st    0x000030FB
PIC16F18055                  Midrange/1.8V Min MSB1st    0x000030FC
PIC16F18056                  Midrange/1.8V Min MSB1st    0x000030FF
PIC16F18074                  Midrange/1.8V Min MSB1st    0x000030FD
PIC16F18075                  Midrange/1.8V Min MSB1st    0x000030FE
PIC16F18076                  Midrange/1.8V Min MSB1st    0x00003100
PIC16F18114                  Midrange/1.8V Min MSB1st    0x00003107
PIC16F18115                  Midrange/1.8V Min MSB1st    0x0000310C
PIC16F18124                  Midrange/1.8V Min MSB1st    0x00003108
PIC16F18125                  Midrange/1.8V Min MSB1st    0x0000310D
PIC16F18126                  Midrange/1.8V Min MSB1st    0x00003111
PIC16F18144                  Midrange/1.8V Min MSB1st    0x00003109
PIC16F18145                  Midrange/1.8V Min MSB1st    0x0000310E
PIC16F18146                  Midrange/1.8V Min MSB1st    0x00003112
PIC16F18154                  Midrange/1.8V Min MSB1st    0x0000310A
PIC16F18155                  Midrange/1.8V Min MSB1st    0x0000310F
PIC16F18156                  Midrange/1.8V Min MSB1st    0x00003113
PIC16F18174                  Midrange/1.8V Min MSB1st    0x0000310B
PIC16F18175                  Midrange/1.8V Min MSB1st    0x00003110
PIC16F18176                  Midrange/1.8V Min MSB1st    0x00003114
PIC16F18424                  Midrange/1.8V Min MSB1st    0x000030CA
PIC16F18425                  Midrange/1.8V Min MSB1st    0x000030CC
PIC16F18426                  Midrange/1.8V Min MSB1st    0x000030D2
PIC16F18444                  Midrange/1.8V Min MSB1st    0x000030CE
PIC16F18445                  Midrange/1.8V Min MSB1st    0x000030D0
PIC16F18446                  Midrange/1.8V Min MSB1st    0x000030D4
PIC16F18455                  Midrange/1.8V Min MSB1st    0x000030D7
PIC16F18456                  Midrange/1.8V Min MSB1st    0x000030D9
PIC16F18854                  Midrange/1.8V Min MSB1st    0x0000306A
PIC16F18855                  Midrange/1.8V Min MSB1st    0x0000306C
PIC16F18856                  Midrange/1.8V Min MSB1st    0x00003070
PIC16F18857                  Midrange/1.8V Min MSB1st    0x00003074
PIC16F18875                  Midrange/1.8V Min MSB1st    0x0000306D
PIC16F18876                  Midrange/1.8V Min MSB1st    0x00003071
PIC16F18877                  Midrange/1.8V Min MSB1st    0x00003075
PIC16F19155                  Midrange/1.8V Min MSB1st    0x00003096
PIC16F19156                  Midrange/1.8V Min MSB1st    0x00003098
PIC16F19175                  Midrange/1.8V Min MSB1st    0x0000309A
PIC16F19176                  Midrange/1.8V Min MSB1st    0x0000309C
PIC16F19185                  Midrange/1.8V Min MSB1st    0x000030BA
PIC16F19186                  Midrange/1.8V Min MSB1st    0x000030BC
PIC16F19195                  Midrange/1.8V Min MSB1st    0x0000309E
PIC16F19196                  Midrange/1.8V Min MSB1st    0x000030A0
PIC16F19197                  Midrange/1.8V Min MSB1st    0x000030A2
PIC16LF15313                 Midrange/1.8V Min MSB1st    0x000030BF
PIC16LF15323                 Midrange/1.8V Min MSB1st    0x000030C1
PIC16LF15324                 Midrange/1.8V Min MSB1st    0x000030C3
PIC16LF15325                 Midrange/1.8V Min MSB1st    0x000030C7
PIC16LF15344                 Midrange/1.8V Min MSB1st    0x000030C5
PIC16LF15345                 Midrange/1.8V Min MSB1st    0x000030C9
PIC16LF15354                 Midrange/1.8V Min MSB1st    0x000030AD
PIC16LF15355                 Midrange/1.8V Min MSB1st    0x000030AF
PIC16LF15356                 Midrange/1.8V Min MSB1st    0x000030B1
PIC16LF15375                 Midrange/1.8V Min MSB1st    0x000030B3
PIC16LF15376                 Midrange/1.8V Min MSB1st    0x000030B5
PIC16LF15385                 Midrange/1.8V Min MSB1st    0x000030B7
PIC16LF15386                 Midrange/1.8V Min MSB1st    0x000030B9
PIC16LF18424                 Midrange/1.8V Min MSB1st    0x000030CB
PIC16LF18425                 Midrange/1.8V Min MSB1st    0x000030CD
PIC16LF18426                 Midrange/1.8V Min MSB1st    0x000030D3
PIC16LF18444                 Midrange/1.8V Min MSB1st    0x000030CF
PIC16LF18445                 Midrange/1.8V Min MSB1st    0x000030D1
PIC16LF18446                 Midrange/1.8V Min MSB1st    0x000030D5
PIC16LF18455                 Midrange/1.8V Min MSB1st    0x000030D8
PIC16LF18456                 Midrange/1.8V Min MSB1st    0x000030DA
PIC16LF18854                 Midrange/1.8V Min MSB1st    0x0000306B
PIC16LF18855                 Midrange/1.8V Min MSB1st    0x0000306E
PIC16LF18856                 Midrange/1.8V Min MSB1st    0x00003072
PIC16LF18857                 Midrange/1.8V Min MSB1st    0x00003076
PIC16LF18875                 Midrange/1.8V Min MSB1st    0x0000306F
PIC16LF18876                 Midrange/1.8V Min MSB1st    0x00003073
PIC16LF18877                 Midrange/1.8V Min MSB1st    0x00003077
PIC16LF19155                 Midrange/1.8V Min MSB1st    0x00003097
PIC16LF19156                 Midrange/1.8V Min MSB1st    0x00003099
PIC16LF19175                 Midrange/1.8V Min MSB1st    0x0000309B
PIC16LF19176                 Midrange/1.8V Min MSB1st    0x0000309D
PIC16LF19185                 Midrange/1.8V Min MSB1st    0x000030BB
PIC16LF19186                 Midrange/1.8V Min MSB1st    0x000030BD
PIC16LF19195                 Midrange/1.8V Min MSB1st    0x0000309F
PIC16LF19196                 Midrange/1.8V Min MSB1st    0x000030A1
PIC16LF19197                 Midrange/1.8V Min MSB1st    0x000030A3
PIC18F242                    PIC18/PIC18F                0x00000480
PIC18F248                    PIC18/PIC18F                0x00000800
PIC18F252                    PIC18/PIC18F                0x00000400
PIC18F258                    PIC18/PIC18F                0x00000840
PIC18F442                    PIC18/PIC18F                0x000004A0
PIC18F448                    PIC18/PIC18F                0x00000820
PIC18F452                    PIC18/PIC18F                0x00000420
PIC18F458                    PIC18/PIC18F                0x00000860
PIC18F1220                   PIC18/PIC18F                0x000007E0
PIC18F1230                   PIC18/PIC18F                0x00001E00
PIC18F1320                   PIC18/PIC18F                0x000007C0
PIC18F1330                   PIC18/PIC18F                0x00001E20
PIC18F1330-ICD               PIC18/PIC18F                0x00001FE0
PIC18F2220                   PIC18/PIC18F                0x00000580
PIC18F2221                   PIC18/PIC18F                0x00002160
PIC18F2320                   PIC18/PIC18F                0x00000500
PIC18F2321                   PIC18/PIC18F                0x00002120
PIC18F2331                   PIC18/PIC18F                0x000008E0
PIC18F2410                   PIC18/PIC18F                0x00001160
PIC18F2420                   PIC18/PIC18F                0x00001140
PIC18F2423                   PIC18/PIC18F                0x00001150
PIC18F2431                   PIC18/PIC18F                0x000008C0
PIC18F2450                   PIC18/PIC18F                0x00002420
PIC18F2455                   PIC18/PIC18F                0x00001260
PIC18F2458                   PIC18/PIC18F                0x00002A60
PIC18F2480                   PIC18/PIC18F                0x00001AE0
PIC18F2510                   PIC18/PIC18F                0x00001120
PIC18F2515                   PIC18/PIC18F                0x00000CE0
PIC18F2520                   PIC18/PIC18F                0x00001100
PIC18F2523                   PIC18/PIC18F                0x00001110
PIC18F2525                   PIC18/PIC18F                0x00000CC0
